model,scenario,trial,success,turn,G,C,D,S,O,E,corruption
claude,S7,1,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,1,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,1,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,1,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,1,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,1,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,1,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,1,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,1,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S7,2,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,2,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,2,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,2,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,2,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,2,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,2,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,2,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,2,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S7,3,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,3,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,3,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,3,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,3,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,3,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,3,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,3,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,3,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S7,4,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,4,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,4,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,4,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,4,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,4,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,4,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,4,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,4,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S7,5,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,5,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,5,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,5,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,5,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,5,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,5,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,5,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,5,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S7,6,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,6,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,6,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,6,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,6,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,6,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,6,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,6,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,6,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S7,7,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,7,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,7,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,7,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,7,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,7,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,7,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,7,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,7,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S7,8,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,8,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,8,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,8,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,8,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,8,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,8,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,8,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,8,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S7,9,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,9,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,9,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,9,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,9,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,9,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,9,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,9,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,9,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S7,10,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,10,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,10,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,10,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,10,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,10,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,10,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,10,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,10,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S7,11,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S7,11,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S7,11,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S7,11,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S7,11,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S7,11,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S7,11,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S7,11,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S7,11,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
