model,scenario,trial,success,turn,G,C,D,S,O,E,corruption
claude,S9,26,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,26,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,26,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,26,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,26,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,26,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,26,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,26,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,26,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,27,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,27,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,27,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,27,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,27,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,27,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,27,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,27,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,27,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,28,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,28,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,28,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,28,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,28,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,28,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,28,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,28,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,28,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,29,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,29,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,29,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,29,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,29,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,29,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,29,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,29,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,29,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,30,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,30,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,30,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,30,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,30,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,30,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,30,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,30,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,30,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
deepseek,S9,1,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
deepseek,S9,1,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
deepseek,S9,1,1,2,24.5728,68.316,35.1275,34.5646,49.1701,30.8307,0.0
deepseek,S9,1,1,3,15.8039,72.5802,37.402,28.3244,54.6164,35.0955,0.0
deepseek,S9,1,1,4,7.4494,75.822,40.0661,20.6125,58.9775,42.5252,0.0
deepseek,S9,1,1,5,0.0,79.7489,45.8397,11.5866,63.4635,54.1822,0.0
deepseek,S9,1,1,6,0.0,85.0262,54.6982,2.9887,68.5477,70.1268,0.0
deepseek,S9,1,1,7,0.0,92.2561,65.2099,0.0,74.3387,88.2071,0.0
deepseek,S9,1,1,8,0.0,100.0,79.4748,0.0,83.0293,100.0,0.0
deepseek,S9,2,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
deepseek,S9,2,0,1,31.34,64.765,37.935,39.8475,43.1225,32.59,0.0
deepseek,S9,2,0,2,23.9727,68.591,35.2275,33.9771,49.4576,31.6058,0.0
deepseek,S9,2,0,3,15.9189,71.6652,35.2708,27.6425,54.2083,34.628,0.0
deepseek,S9,2,0,4,7.7909,74.7386,38.1615,20.3382,58.3892,41.6711,0.0
deepseek,S9,2,0,5,0.0,78.498,43.9862,11.709,62.7036,52.8606,0.0
deepseek,S9,2,0,6,0.0,83.5829,52.8532,3.4006,67.662,68.4071,0.0
deepseek,S9,2,0,7,0.0,91.8506,65.7842,0.0,74.0743,87.5611,0.0
deepseek,S9,2,0,8,0.0,100.0,79.8577,0.0,82.6753,100.0,0.0
deepseek,S9,3,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
deepseek,S9,3,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
deepseek,S9,3,1,2,24.5728,68.316,35.1275,34.5646,49.1701,30.8307,0.0
deepseek,S9,3,1,3,16.8039,71.3302,34.902,28.3244,53.8664,33.5955,0.0
deepseek,S9,3,1,4,9.3994,73.797,36.4661,21.2,57.64,39.6502,0.0
deepseek,S9,3,1,5,0.0,77.2789,41.841,13.0809,61.6741,49.9797,0.0
